full_pre_entailment,full_hy_entailment,full_pre_neutral,full_hy_neutral,full_pre_contradiction,full_hy_contradiction,hard_pre_entailment,hard_hy_entailment,hard_pre_neutral,hard_hy_neutral,hard_pre_contradiction,hard_hy_contradiction
"('billion', 0.439329930802999)","('called', 0.7006946949374067)","('vice', 0.5573310845253638)","('friends', 0.8196953489928548)","('source', 0.2957261955248728)","('exactly', 0.9625560677674446)","('knew', 0.813704143099054)","('important', 0.7530795212826191)","('generation', 0.6296479804928912)","('federal', 0.5044848375388851)","('mail', 0.5143714534272978)","('late', 1.2563087981566752)"
"('texas', 0.3440197509986741)","('became', 0.6888602372904036)","('loan', 0.5320132765410739)","('tourists', 0.7656281277225792)","('id', 0.2837976246595989)","('perfectly', 0.9343851908007484)","('popular', 0.7589792434098075)","('also', 0.711188579573459)","('end', 0.5755807592226153)","('away', 0.39325920242866075)","('office', 0.47615024060710015)","('ended', 1.0049943698757688)"
"('present', 0.3440197509986741)","('certain', 0.6018488603007738)","('funny', 0.421198910200784)","('months', 0.7396526413193185)","('needed', 0.28045872339408423)","('hate', 0.9225507331537455)","('anyway', 0.6848712712560857)","('kids', 0.615878399769134)","('law', 0.5755807592226153)","('know', 0.38641767061194393)","('along', 0.46785143779240496)","('ancient', 0.9686267257048942)"
"('single', 0.3440197509986741)","('something', 0.5671633023128838)","('ensure', 0.4111485743472825)","('order', 0.6461265833084949)","('operations', 0.25650548237159143)","('nothing', 0.881140676281936)","('nothing', 0.6418538861723947)","('something', 0.4823470071446114)","('find', 0.5242874648350647)","('jon', 0.3811866211943915)","('try', 0.45396232563173794)","('full', 0.9686267257048942)"
"('fiscal', 0.3031977564784189)","('retirement', 0.5671633023128838)","('wrote', 0.40751880629670373)","('also', 0.6443424615149937)","('common', 0.25650548237159143)","('none', 0.8755446907778149)","('stuff', 0.5905605917848442)","('lot', 0.4679582696925119)","('studies', 0.5044848375388851)","('children', 0.3783335522119848)","('water', 0.43532824608684506)","('company', 0.9198365615354623)"
"('field', 0.2995679884278403)","('says', 0.5446904464608253)","('address', 0.4031804046981056)","('popular', 0.6252422901415743)","('towns', 0.24123801024080313)","('hated', 0.8755446907778149)","('cant', 0.569358384134241)","('hard', 0.4335568429751794)","('umhum', 0.4885693822329857)","('seen', 0.34196590804111027)","('show', 0.4233996752215711)","('seven', 0.9198365615354623)"
"('district', 0.29522958682924205)","('financial', 0.5110738356618404)","('means', 0.3979033475972618)","('1', 0.6144894983653125)","('chapter', 0.24123801024080313)","('never', 0.861645593312188)","('financial', 0.5618111784988582)","('need', 0.38535474115730173)","('wouldnt', 0.4473264236989364)","('always', 0.3419659080411101)","('percent', 0.4200607739560564)","('average', 0.9198365615354623)"
"('reporting', 0.2857508428746983)","('living', 0.5110738356618404)","('policies', 0.382977697380586)","('project', 0.6144894983653125)","('hotel', 0.24123801024080313)","('totally', 0.8065518192908633)","('turn', 0.5288670227795044)","('anything', 0.370755941736149)","('reports', 0.4473264236989364)","('information', 0.3419659080411101)","('known', 0.40901093776947156)","('red', 0.8508436900485108)"
"('square', 0.27502687951172267)","('example', 0.506538680496449)","('lets', 0.382977697380586)","('expensive', 0.6144894983653125)","('british', 0.24123801024080296)","('anything', 0.7802345109734901)","('death', 0.5249066215634073)","('old', 0.370755941736149)","('dollar', 0.4473264236989364)","('life', 0.30917608521811923)","('building', 0.3808400608027753)","('buy', 0.8043236744136176)"
"('initiatives', 0.27502687951172267)","('analysis', 0.506538680496449)","('peace', 0.36495919187790765)","('trying', 0.6015023028385013)","('officials', 0.23431756739622914)","('refused', 0.7802345109734901)","('provide', 0.5105178841113078)","('never', 0.35118584554205196)","('jon', 0.41095877952806176)","('part', 0.2975141454702764)","('great', 0.3690056031557722)","('site', 0.7863051689109396)"
"('approach', 0.25700837400904436)","('per', 0.49062322519054946)","('included', 0.35666038906321273)","('worked', 0.5855019614920601)","('music', 0.2187651543887445)","('single', 0.7420132981532923)","('makes', 0.49071525681512806)","('better', 0.32819632731735315)","('site', 0.39325920242866075)","('care', 0.2931757438716781)","('head', 0.3583672049507166)","('british', 0.7863051689109396)"
"('gaos', 0.25700837400904436)","('remember', 0.4775511436231967)","('soon', 0.35666038906321273)","('wanted', 0.5855019614920601)","('matter', 0.2187651543887445)","('completely', 0.7112416394865385)","('everything', 0.47772806128831685)","('see', 0.32819632731735315)","('uhhuh', 0.388485923676003)","('im', 0.2848074942011615)","('since', 0.35552225281848526)","('100', 0.7863051689109396)"
"('units', 0.25700837400904436)","('true', 0.4775511436231967)","('generation', 0.35666038906321273)","('takes', 0.5855019614920601)","('section', 0.21225047336755082)","('kept', 0.6892627327677633)","('actually', 0.44152501262435634)","('said', 0.3057234714652947)","('women', 0.34196590804111027)","('even', 0.2678579358873882)","('south', 0.3007973531292388)","('mail', 0.7454831743906843)"
"('commission', 0.25700837400904436)","('activities', 0.4775511436231967)","('lives', 0.35666038906321257)","('similar', 0.5855019614920601)","('level', 0.20041601572054807)","('section', 0.6467031183489675)","('road', 0.4335568429751794)","('got', 0.2837445647465194)","('different', 0.3419659080411101)","('dont', 0.24959258791009514)","('guess', 0.2548602579422132)","('french', 0.717312297423988)"
"('related', 0.25700837400904436)","('sometimes', 0.4493802666565004)","('movies', 0.3341875332111541)","('soon', 0.5745728909598699)","('give', 0.20041601572054807)","('nobody', 0.6467031183489675)","('model', 0.4335568429751794)","('people', 0.2763712594527672)","('least', 0.3419659080411101)","('sure', 0.22418287238472656)","('real', 0.2530066892928902)","('century', 0.6685221332545561)"
"('modern', 0.24870957119434917)","('probably', 0.4493802666565004)","('party', 0.3341875332111541)","('room', 0.5652992541745407)","('areas', 0.20041601572054787)","('ever', 0.6422487679995872)","('across', 0.42350650712167814)","('many', 0.27601057414678287)","('need', 0.3419659080411101)","('money', 0.19678389819661227)","('new', 0.2473086681782526)","('sent', 0.6685221332545561)"
"('financial', 0.24870957119434917)","('located', 0.4493802666565004)","('development', 0.32191744061933975)","('low', 0.5472807486718624)","('seven', 0.20041601572054787)","('terrible', 0.6371336673328168)","('ill', 0.42350650712167814)","('make', 0.2710379134774046)","('rule', 0.3419659080411101)","('back', 0.17491182337794392)","('long', 0.24470788647819508)","('compared', 0.6685221332545561)"
"('product', 0.24870957119434917)","('older', 0.4493802666565004)","('employees', 0.3184391762430149)","('love', 0.5389819458571673)","('generally', 0.19093727176600417)","('doesnt', 0.587862618326034)","('hot', 0.42350650712167814)","('going', 0.2636578061797822)","('kind', 0.32134662083837445)","('legal', 0.16607524157744596)","('things', 0.23180448164228723)","('lost', 0.6501729945863595)"
