full_pre_entailment,full_hy_entailment,full_pre_neutral,full_hy_neutral,full_pre_contradiction,full_hy_contradiction,hard_pre_entailment,hard_hy_entailment,hard_pre_neutral,hard_hy_neutral,hard_pre_contradiction,hard_hy_contradiction
"('circle', 0.39480922876089036)","('multiple', 0.9926462295165107)","('nearby', 0.3613006880995298)","('brothers', 1.1344905763330115)","('buildings', 0.3250089719397257)","('nobody', 1.127355444464663)","('park', 0.6438154764783361)","('shorts', 0.8632892989035835)","('display', 0.6567138268907389)","('outdoors', 0.619809269955288)","('sweater', 0.5758281656119297)","('party', 0.7930369814063251)"
"('make', 0.39480922876089036)","('instrument', 0.8938003948798781)","('climb', 0.34603321596874115)","('tall', 1.0857004121635794)","('among', 0.29444632152955885)","('sleeps', 1.127355444464663)","('jersey', 0.6331770782732802)","('smiling', 0.690335492113229)","('blanket', 0.5856179052070086)","('family', 0.4743922700967841)","('steps', 0.4676145809716969)","('home', 0.7189290092526032)"
"('various', 0.35706890077804343)","('outdoors', 0.8831619966748226)","('talk', 0.3235603601166827)","('money', 1.0544478686594752)","('onto', 0.211064712590508)","('empty', 1.0363836662589363)","('across', 0.5791098570030045)","('basketball', 0.5756072264518026)","('metal', 0.569702449901109)","('taking', 0.4230989757092337)","('sunglasses', 0.4575642451181957)","('chasing', 0.6499361377656516)"
"('including', 0.3077978517712608)","('area', 0.8467943525039476)","('bikes', 0.2982425521323929)","('professional', 1.0474791993433819)","('bearded', 0.21106471259050782)","('sleeping', 0.9855252490254451)","('players', 0.5791098570030045)","('crowd', 0.5147444810481012)","('something', 0.5566303683337563)","('outside', 0.4230989757092337)","('uniform', 0.42412946903195825)","('work', 0.5758281656119297)"
"('drums', 0.28358359365066604)","('human', 0.7312814653821035)","('smoking', 0.2521013961345379)","('vacation', 1.0474791993433819)","('sunny', 0.21106471259050782)","('cat', 0.9842546008239895)","('horse', 0.5791098570030045)","('soccer', 0.48966479665107787)","('shirts', 0.4230989757092337)","('restaurant', 0.4230989757092337)","('watching', 0.4087740809487636)","('friends', 0.5629247607760218)"
"('volleyball', 0.27702619310450705)","('animals', 0.7202316291955182)","('display', 0.23840255177637606)","('wants', 1.0391803965286865)","('racing', 0.21106471259050782)","('crying', 0.9732047646374045)","('tshirt', 0.559258088450273)","('bench', 0.4837996771986797)","('tree', 0.36903175443895797)","('working', 0.4230989757092337)","('workers', 0.40481367973266663)","('ready', 0.5088575395057462)"
"('ready', 0.27702619310450705)","('wet', 0.7132629598794251)","('life', 0.23654898312705308)","('date', 1.0391803965286865)","('coffee', 0.21106471259050782)","('games', 0.9603013598014967)","('ready', 0.5551087049034613)","('large', 0.4325063828111292)","('water', 0.32200285883786495)","('together', 0.42309897570923355)","('fence', 0.39862170948474557)","('boat', 0.4676145809716969)"
"('perform', 0.2770261931045069)","('winter', 0.7132629598794251)","('faces', 0.23654898312705308)","('wedding', 1.016707540676628)","('tall', 0.21106471259050782)","('bed', 0.9555051875380036)","('open', 0.5378668984689554)","('around', 0.4325063828111291)","('bag', 0.30531594005285023)","('water', 0.4024796885064979)","('worker', 0.36225406531387094)","('stage', 0.4087740809487636)"
"('legs', 0.2669758572510056)","('animal', 0.6940521236137476)","('bathing', 0.23654898312705308)","('winning', 1.0009591837084888)","('performs', 0.21106471259050782)","('coffee', 0.9331994300237054)","('enjoying', 0.5378668984689554)","('blue', 0.41345818784043453)","('boat', 0.30531594005285023)","('near', 0.3971234893059729)","('couple', 0.32946424249087986)","('building', 0.3109607709263204)"
"('takes', 0.23050617746961402)","('outside', 0.6837595322006664)","('mask', 0.23654898312705308)","('owner', 0.9947286339578529)","('kid', 0.19579724045971947)","('couch', 0.9266847490025116)","('boots', 0.5378668984689554)","('ball', 0.39168438829087404)","('surrounded', 0.2952656041993488)","('inside', 0.3822769811889786)","('trees', 0.3245137373310236)","('white', 0.30818684404359475)"
"('track', 0.22295897183423113)","('moving', 0.6630732153555697)","('door', 0.23654898312705308)","('sisters', 0.9803398965057532)","('bowling', 0.1930462070878297)","('eats', 0.916046350797456)","('light', 0.5378668984689554)","('riding', 0.39168438829087404)","('lying', 0.2952656041993488)","('shopping', 0.37430881153980156)","('trick', 0.31780230274303684)","('baseball', 0.28814609316014883)"
"('seen', 0.21248767196693577)","('vehicle', 0.6179527800751001)","('arms', 0.23500696277523778)","('wife', 0.9741479262578321)","('night', 0.1828938356238114)","('naked', 0.8937405932831577)","('soccer', 0.5260324408219524)","('car', 0.35652047583320706)","('holds', 0.2952656041993488)","('small', 0.2952656041993488)","('five', 0.3134639011444386)","('race', 0.23442069380398586)"
"('sunset', 0.21248767196693577)","('present', 0.6083833290589495)","('painting', 0.21819984445885648)","('friend', 0.9403345618920541)","('fire', 0.1828938356238114)","('jogging', 0.886193387647775)","('ocean', 0.5195177598007588)","('making', 0.31472334715474576)","('suit', 0.2560448910460676)","('next', 0.2689482958819753)","('brown', 0.3109607709263204)","('holding', 0.19040380838721147)"
"('also', 0.20556722912236203)","('near', 0.6078297724436517)","('structure', 0.21819984445885648)","('husband', 0.9268512115547671)","('swimming', 0.180759363095179)","('club', 0.8649911799971718)","('cellphone', 0.5195177598007588)","('player', 0.3073432398571231)","('next', 0.25604489104606726)","('swimming', 0.2560448910460676)","('baby', 0.29771554417629953)","('dog', 0.18167012841845687)"
"('sports', 0.20556722912236203)","('colorful', 0.5954799242230416)","('short', 0.21819984445885648)","('new', 0.9209164760349525)","('sand', 0.17827488976751693)","('laying', 0.8590914578699836)","('game', 0.5125490904846653)","('red', 0.27835570298387075)","('play', 0.25124871878257443)","('eating', 0.24077741891527893)","('plays', 0.29326119382691945)","('someone', 0.179932508519916)"
"('ladies', 0.20556722912236203)","('something', 0.5905538058869857)","('costume', 0.21819984445885648)","('fun', 0.9193791967160662)","('fallen', 0.17184399943722642)","('nap', 0.855421728981021)","('sleeping', 0.4837996771986797)","('park', 0.27835570298387075)","('face', 0.24720830924556939)","('looks', 0.24077741891527893)","('holding', 0.2876432015226961)","('watching', 0.13911051399966093)"
"('sky', 0.20065321431993277)","('wears', 0.577130785554845)","('plays', 0.21333365480768354)","('teaching', 0.9113470250188018)","('motorcycle', 0.16757960065076904)","('tv', 0.8486420419956423)","('dark', 0.3753479689711804)","('tree', 0.25018482601717434)","('look', 0.24720830924556939)","('street', 0.23817663721522173)","('mouth', 0.28221135764033434)","('ball', 0.13911051399966093)"
"('number', 0.1900148161148773)","('cart', 0.5618633134240567)","('football', 0.21176895412856614)","('first', 0.9008757251515064)","('sweater', 0.16227454842107586)","('sleep', 0.839673372012882)","('smiling', 0.3635135113241778)","('black', 0.22616994981330069)","('road', 0.23204373894652447)","('children', 0.22086210921433763)","('watches', 0.28221135764033434)","('front', 0.1286392141323655)"
"('passing', 0.1900148161148773)","('clothing', 0.5283406213854129)","('past', 0.2095417817157419)","('throw', 0.8933285195161236)","('concrete', 0.15977141820295723)","('asleep', 0.8318912315708271)","('blond', 0.35652047583320706)","('guy', 0.20936283149691934)","('standing', 0.22966057880893972)","('looking', 0.19995542439502398)","('sidewalk', 0.27887245637481983)","('walking', 0.12109200849698258)"
"('cars', 0.18716986398264598)","('smiling', 0.4948926873178729)","('train', 0.2077285445915611)","('birthday', 0.8893681183000265)","('rope', 0.15795488727655954)","('alone', 0.8250745725917293)","('swimming', 0.3454950058214993)","('game', 0.1913443259942409)","('behind', 0.22242828024708264)","('one', 0.18468795226423557)","('hat', 0.2718700038456017)","('play', 0.12109200849698258)"
"('jersey', 0.18716986398264598)","('using', 0.49011940856521535)","('left', 0.2065038046956653)","('sad', 0.8831761480521055)","('fishing', 0.15795488727655954)","('driving', 0.8172005161608235)","('race', 0.3454950058214993)","('sitting', 0.18852874459407745)","('dogs', 0.2133784447271646)","('snow', 0.18193691889234548)","('work', 0.2669438855095459)","('boys', 0.1171316072808857)"
"('towards', 0.1716656774466807)","('male', 0.48718254889190565)","('audience', 0.20293237232806818)","('falling', 0.8721263118655206)","('pile', 0.14652619145293663)","('desert', 0.7908832078434499)","('dressed', 0.3371962030068041)","('boys', 0.18738392477814417)","('glasses', 0.2133784447271646)","('beach', 0.18193691889234548)","('grassy', 0.2669438855095459)","('running', 0.10442495601177096)"
"('attire', 0.1716656774466807)","('clothes', 0.47704732699786256)","('foreground', 0.2001813389561783)","('concert', 0.8468085038812305)","('beautiful', 0.14652619145293663)","('yelling', 0.7790487501964473)","('truck', 0.3371962030068041)","('wearing', 0.17715969100228454)","('people', 0.20739040288254196)","('lady', 0.16073471124174243)","('along', 0.25305477334887855)","('player', 0.09399007871919138)"
"('onto', 0.17166567744668051)","('humans', 0.47485193643442697)","('chairs', 0.2001813389561783)","('trying', 0.8291089267818298)","('work', 0.14652619145293663)","('office', 0.7706805005259306)","('laying', 0.3371962030068041)","('swimming', 0.17014211834363818)","('around', 0.2064279389006414)","('shirt', 0.1511652602255918)","('performing', 0.25305477334887855)","('bike', 0.090320349830229)"
"('drinking', 0.17166567744668051)","('picture', 0.4705210504965868)","('sort', 0.19002896749216022)","('homeless', 0.824335648029172)","('tank', 0.13996879090677777)","('hockey', 0.7443631922085571)","('mountain', 0.3371962030068041)","('bike', 0.16057266732748732)","('grass', 0.19995542439502398)","('three', 0.13541690325745273)","('stands', 0.25305477334887855)","('two', 0.0768682051224402)"
"('flower', 0.17166567744668051)","('many', 0.46380210024784185)","('house', 0.19002896749216022)","('friends', 0.8145476416630092)","('fence', 0.1379424477615453)","('inside', 0.7275560738921757)","('female', 0.33072368850118683)","('playing', 0.1597658903575472)","('outside', 0.16820672608044365)","('group', 0.11771732615805172)","('little', 0.24447102965748735)","('three', 0.07457199286208979)"
"('spectators', 0.17166567744668051)","('sign', 0.45196764260083894)","('store', 0.19002896749216022)","('cold', 0.8090681758983836)","('bed', 0.13410367145437949)","('flying', 0.7218903363564985)","('market', 0.323307090846137)","('men', 0.14287309022808656)","('three', 0.16237271324598093)","('dressed', 0.11771732615805172)","('many', 0.24447102965748735)","('women', 0.0711993083834505)"
"('musical', 0.17166567744668051)","('holding', 0.44481964933555174)","('african', 0.17897913130557522)","('married', 0.7861838820647957)","('makes', 0.13410367145437949)","('video', 0.7218903363564985)","('team', 0.323307090846137)","('women', 0.14145162588070892)","('watch', 0.16073471124174243)","('kids', 0.11072429066708132)","('toy', 0.24447102965748735)","('child', 0.07054784256236435)"
"('middleaged', 0.17166567744668051)","('taken', 0.43736884317968644)","('dancing', 0.17897913130557522)","('make', 0.7861838820647957)","('vests', 0.13410367145437949)","('pool', 0.7111950472397504)","('performing', 0.323307090846137)","('young', 0.13326348795827217)","('long', 0.16073471124174243)","('running', 0.10464524459069925)","('bike', 0.23864010934669397)","('table', 0.062149472863532604)"
"('school', 0.17166567744668051)","('stand', 0.4287107804365718)","('blondhair', 0.17897913130557522)","('christmas', 0.7778156323942791)","('middle', 0.12882661435353573)","('mall', 0.6965725283722087)","('food', 0.32128074770090476)","('dressed', 0.12712473325994741)","('person', 0.1591334298747689)","('dogs', 0.09931189861533649)","('elderly', 0.23442069380398586)","('standing', 0.05997319344093698)"
"('rider', 0.17166567744668051)","('camera', 0.4275990515838812)","('couch', 0.17897913130557522)","('family', 0.7751165754251141)","('player', 0.12520342198411538)","('sun', 0.6753703207216055)","('basketball', 0.3147233471547456)","('couple', 0.1242050231566127)","('group', 0.152808645969322)","('person', 0.09767657527460573)","('holds', 0.23442069380398586)","('couple', 0.05395270565935418)"
"('photo', 0.15996963768348962)","('someone', 0.4195018413512618)","('metal', 0.17471473251911754)","('competition', 0.7597971268916008)","('giving', 0.12405333560087815)","('fighting', 0.6678231150862227)","('bench', 0.3073432398571231)","('dog', 0.11839105329119275)","('children', 0.15245309041002053)","('girls', 0.09641474545418348)","('striped', 0.22872267268934812)","('boy', 0.049879380271718246)"
"('woods', 0.15842045069665991)","('person', 0.4193804894913957)","('getting', 0.17221473121703304)","('giving', 0.7550009546281079)","('basketball', 0.1186913924594926)","('eating', 0.6665402412733336)","('sit', 0.30467301130124425)","('green', 0.11405265169259461)","('sitting', 0.152224021573834)","('sitting', 0.06789570238195765)","('motorcycle', 0.222492122938712)","('girl', 0.0438003341953361)"
